priority	accession	study_url	filename	bytes_expected	download_url	stage_prefix	note
HIGH	SCP3301	https://singlecell.broadinstitute.org/single_cell/study/SCP3301	WTintegrated_addendum_metadata_convention.txt.gz	3190665	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP3301/download?filename=WTintegrated_addendum_metadata_convention.txt.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP3301/	MISSING sidecar; matrix/genes/barcodes already staged
HIGH	SCP3301	https://singlecell.broadinstitute.org/single_cell/study/SCP3301	WTintegrated_addendum_clustering.txt.gz	3375784	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP3301/download?filename=WTintegrated_addendum_clustering.txt.gz	gs://scperturb/pert-gym/staging/manual_scp/2026-06-23/SCP3301/	MISSING sidecar; matrix/genes/barcodes already staged
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.d0_organoids.mtx	1995091905	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.d0_organoids.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d0_genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d0_genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d0_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d0_barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d0_barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d0_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	day0.integrated_iPSC_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=day0.integrated_iPSC_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d0_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.d7_organoids.mtx	2825968784	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.d7_organoids.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d7_genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d7_genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d7_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d7_barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d7_barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d7_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	day7.integrated_organoids_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=day7.integrated_organoids_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d7_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.d15_organoids.mtx	4941369579	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.d15_organoids.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d15_genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d15_genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d15_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d15_barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d15_barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d15_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	day15.integrated_organoids_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=day15.integrated_organoids_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d15_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.d29_organoids.mtx	4858455186	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.d29_organoids.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d29_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	barcodes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=barcodes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d29_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	day29.integrated_organoids_metadata.txt		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=day29.integrated_organoids_metadata.txt	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d29_organoids.mtx
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	gene_sorted-2020-06-05.d32_MA.mtx	280384959	https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=gene_sorted-2020-06-05.d32_MA.mtx	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	SCP211 selected day-family matrix
MED	SCP211	https://singlecell.broadinstitute.org/single_cell/study/SCP211	d32_MA_genes.tsv		https://singlecell.broadinstitute.org/single_cell/api/v1/site/studies/SCP211/download?filename=d32_MA_genes.tsv	gs://scperturb/pert-gym/staging/browser_auth_scp/2026-06-22/SCP211/	sidecar for gene_sorted-2020-06-05.d32_MA.mtx
