dataset	source_accession	prior_p5d_decision	staged_h5ad_count	staged_bytes	staged_uris	duplicate_named_staged_object	existing_exact_or_chunk_prefixes	existing_same_accession_prefixes	existing_family_overlap	decision	rationale
GSE210681	GSE210681	blocked_source_or_metadata	1	26102404344	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE210681.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE235325	GSE235325	blocked_source_or_metadata	1	6212884683	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE235325.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE236057	GSE236057	blocked_source_or_metadata	1	265170425	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE236057.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE236519	GSE236519	blocked_source_or_metadata	1	1058023131	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE236519.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE241683_carT	GSE241683	blocked_source_or_metadata	1	323811925	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE241683_carT.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE241683_cropseq	GSE241683	blocked_source_or_metadata	1	6664749343	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE241683_cropseq.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE241683_pilot	GSE241683	blocked_source_or_metadata	1	2890310231	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE241683_pilot.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE243244	GSE243244	blocked_source_or_metadata	1	395698500	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE243244.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE246714	GSE246714	blocked_source_or_metadata	1	975289638	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE246714.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE247274	GSE247274	blocked_source_or_metadata	2	1727221676	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE247274 (1).h5ad;gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE247274.h5ad	true				block_duplicate_named_staged_object	Both canonical and browser duplicate-named staged h5ads exist for this dataset; compare/delete duplicate before ingestion.
GSE247598	GSE247598	blocked_source_or_metadata	0	0		false				still_missing_source	Historical Drive-blocked row still has no staged h5ad under the recovery prefix.
GSE247599	GSE247599	blocked_source_or_metadata	1	1433706825	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE247599.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE250558	GSE250558	blocked_source_or_metadata	1	1339211295	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE250558.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE251715	GSE251715	blocked_source_or_metadata	1	2823124959	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE251715.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE252589	GSE252589	blocked_source_or_metadata	1	835303027	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE252589.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE254100	GSE254100	blocked_source_or_metadata	1	1078390433	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE254100.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE255832	GSE255832	blocked_source_or_metadata	1	188161214	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE255832.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE261025	GSE261025	blocked_source_or_metadata	1	4607920664	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE261025.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE261157	GSE261157	blocked_source_or_metadata	0	0		false				still_missing_source	Historical Drive-blocked row still has no staged h5ad under the recovery prefix.
GSE263524	GSE263524	blocked_source_or_metadata	1	203381564	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE263524.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE267982	GSE267982	blocked_source_or_metadata	2	1405726480	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE267982 (1).h5ad;gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE267982.h5ad	true				block_duplicate_named_staged_object	Both canonical and browser duplicate-named staged h5ads exist for this dataset; compare/delete duplicate before ingestion.
GSE269596	GSE269596	blocked_source_or_metadata	1	2505068264	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE269596.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE270828	GSE270828	blocked_source_or_metadata	1	3998858504	gs://scperturb/pert-gym/staging/data/main/prism_google_drive_datasets_20260622/GSE270828.h5ad	false				candidate_ingest_smoke_first	Historical Drive-blocked row is now staged once; no visible exact/same-accession duplicate found by key gate.
GSE272093	GSE272093	blocked_source_or_metadata	0	0		false				still_missing_source	Historical Drive-blocked row still has no staged h5ad under the recovery prefix.
