dataset_id,review_scope,logical_families,physical_member_count,observations,main_baseline_crosswalk,main_dataset_or_similar_visible,jkobject_dataset_visible,branch_disposition,duplicate_newness_status,strict_obs_validated,strict_var_validated,chunks_or_structure_validated,cleaning_validated,lamin_registered,in_versioned_collection,entirely_validated,entirely_validated_main_existing_dataset,entirely_validated_jkobject_addition,missing_requirements,next_review_focus,source_completion_state,evidence,aliases,scoped_scientific_validation_accepted,accepted_wave,accepted_wave_scoped_validation,accepted_wave_head,producer_task_id,reviewer_task_id,scientific_modality,experimental_axes,outcomes_endpoints,annotation_level,source_evidence,scientific_contract_documented,scientific_contract_bound,payload_prefixes,structured_payload_evidence,processing_decision_notebook_present,processing_decision_notebook,processing_decision_notebook_path,canonical_data_cleaned_payload,accepted_head_integrated,staging_decommissioned_with_receipt,inventory_docs_same_snapshot_accepted,exact_head_inventory_pr_merged
arc-vcc/2025,strict_real_dataset_curation_70,"[""arc_vcc/2025/test"",""arc_vcc/2025/train"",""arc_vcc/2025/validation""]",6,491046,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
broad_prism_repurposing,strict_real_dataset_curation_70,"[""broad_prism_repurposing""]",1,22316860,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
cellarity/public-collection,strict_real_dataset_curation_70,"[""cellarity/GSE305370/GSE305370_citeseq_alldonors_alldays"",""cellarity/GSE305370/GSE305370_multiome_alldonors_alldays"",""cellarity/GSE305370/GSE305370_rna_combined_with_velocity_and_refined_annotations"",""cellarity/GSE305979/GSE305979_day0-7_normalized_counts_with_celltype_annotations"",""cellarity/GSE305979/GSE305979_day0_raw_counts"",""cellarity/GSE305979/GSE305979_day1-7_demuxed_counts"",""cellarity/GSE305979/GSE305979_day1-7_raw_counts"",""cellarity/GSE306429/GSE306429_combined_demuxed"",""cellarity/GSE306429/GSE306429_combined_pseudobulk"",""cellarity/GSE306429/GSE306429_combined_vscores""]",10,2212441,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
depmap_ccle/26q1,strict_real_dataset_curation_70,"[""depmap_ccle/26q1""]",1,1775,False,False,True,jkobject_addition_no_main_match_in_available_evidence,no_main_match_in_available_evidence,True,True,True,True,True,True,False,False,False,canonical_data_cleaned_payload;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,canonical_data_cleaned_payload,full_dod_live_readback_passed; stronger_full_dod_pending,DepMap Public 26Q1 notebook; exact OBS kCNSxyUJoJJKRSgE0004 -> X fUSYT9ArHdQye5qv0001 -> VAR 0S0wAPqgigynI4Av0003; zero-write receipt 30505ef51e8c1ed9ae17f80afeb934d0bcf993c09d1de90aec000e2dd3bb0ab0,"[""depmap_ccle26q1"",""DepMap/CCLE Public 26Q1""]",True,False,False,5d1c87ba1e35388337238f319587162afcdaf568,t_c90d1146,,bulk RNA-seq baseline expression,"{""model_id"":""1,719 unique default DepMap model entries""}","{""expression"":""model-level baseline log1p expression"",""perturbation_response"":""not_applicable""}",model/cell-line level,"[""DepMap Public 26Q1 portal"",""generation-pinned manifest sha256:ad3d220f2a0550d63d76ff944e93454a658dfa16efe4a3b3be7239ff0e492ecc"",""live zero-write receipt canonical sha256:30505ef51e8c1ed9ae17f80afeb934d0bcf993c09d1de90aec000e2dd3bb0ab0""]",True,True,"[""depmap_ccle/26q1""]",True,True,True,notebooks/datasets/depmap_ccle_26q1_processing_decisions.ipynb,False,True,False,False,False
drug-seq/GSE120222,strict_real_dataset_curation_70,"[""DRUG-seq/GSE120222""]",1,72,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,True,True,True,True,True,False,False,False,scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,scientific_contract_evidence,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],True,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE120861,strict_real_dataset_curation_70,"[""prism_collection/GSE120861""]",35,174711,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE132080,strict_real_dataset_curation_70,"[""prism_collection/GSE132080""]",1,23608,False,False,True,jkobject_addition_no_main_match_in_available_evidence,no_main_match_in_available_evidence,True,True,True,True,True,True,False,False,False,scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,scientific_contract_evidence,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],True,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE150062,strict_real_dataset_curation_70,"[""prism_collection/GSE150062""]",1,78393,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE161824,strict_real_dataset_curation_70,"[""prism_collection/GSE161824""]",36,176040,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
geo/GSE164996,strict_real_dataset_curation_70,"[""prism_collection/GSE164996""]",1,25794,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance;scientific_contract_evidence;executable_processing_decision_notebook;canonical_data_cleaned_payload;accepted_head_integration;staging_decommission_receipt;accepted_inventory_docs_snapshot;merged_exact_head_inventory_pr,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv,[],False,False,False,,,,,,,,[],False,False,[],False,False,False,,False,False,False,False,False
